,Shortest,Common,Jaccard,PA1,PA2,katz
"(38707, 37846)",0.0,0,0,0.0,0.02080348019124141,-100
"(37219, 37223)",0.0,0,0,0.0,0.016021633461955502,-100
"(16102, 16103)",0.0,0,0,0.0,0.015258698535195715,-100
"(38099, 39424)",0.0,0,0,0.0,0.01750565589224004,-100
"(8489, 38308)",0.0,0,119,0.0,0.04716691105406307,-100
"(708, 10775)",0.0,0,1,0.0,0.016021633461955502,-100
"(38538, 38567)",0.0,0,140,0.0,0.017822922824035355,-100
"(38743, 38758)",0.0,0,75,0.0,0.029834420295046772,-100
"(38555, 38744)",0.038461538461538464,1,182,0.36926937306885504,0.031084090989175063,-5
"(38234, 38253)",0.0,0,126,0.0,0.03591804409114631,-100
"(38712, 38874)",0.07142857142857142,2,225,0.8069036366755264,0.04672501919025989,-3
"(37993, 38113)",0.037037037037037035,1,187,0.3789231816899512,0.01968416165954658,-2
"(38193, 38244)",0.0,0,108,0.0,0.03758711025391963,-100
"(38169, 38171)",0.0,0,231,0.0,0.03560043235091084,-100
"(3119, 8504)",0.0,0,20,0.0,0.020757254475195434,-100
"(11435, 48184)",0.0,0,0,0.0,0.015258698535195715,-100
"(31380, 38383)",0.0,0,0,0.0,0.015258698535195715,-100
"(38117, 38792)",0.0,0,154,0.0,0.030921125723720896,-100
"(8641, 8661)",0.05263157894736842,1,91,0.4170323914242463,0.043284864085903096,-100
"(38819, 38865)",0.0,0,285,0.0,0.058947102097083835,-100
"(35952, 35961)",0.0,0,0,0.0,0.015258698535195715,-100
"(11737, 11743)",0.0,0,0,0.0,0.01678456838871529,-100
"(8556, 8573)",0.0,0,100,0.0,0.025288960171436378,-100
"(47550, 24566)",0.0,0,1,0.0,0.016021633461955502,-100
"(38546, 48476)",0.0,0,16,0.0,0.016021633461955502,-100
"(38554, 38149)",0.0,0,88,0.0,0.02256324465319717,-100
"(30985, 35554)",0.0,0,1,0.0,0.01678456838871529,-100
"(31187, 8350)",0.0,0,1,0.0,0.016021633461955502,-100
"(38837, 38865)",0.03225806451612903,1,247,0.3459762562611936,0.05925921432771064,-100
"(14732, 45988)",0.0,0,3,0.0,0.01762379680815105,-100
"(38005, 8535)",0.0,0,209,0.0,0.020038867318809155,-100
"(28528, 38630)",0.0,0,17,0.0,0.021260783012503108,-100
"(6659, 7725)",0.0,0,0,0.0,0.016021633461955502,-100
"(38818, 38126)",0.0,0,208,0.0,0.0418787017817612,-100
"(35434, 35436)",0.0,0,0,0.0,0.015258698535195715,-100
"(38602, 45086)",0.0,0,0,0.0,0.021798913944618227,-100
"(14759, 38100)",0.0,0,14,0.0,0.02182609136516625,-100
"(19380, 38717)",0.0,0,17,0.0,0.022480587855988457,-100
"(38710, 38737)",0.0,0,208,0.0,0.03200054769493516,-100
"(29963, 38824)",0.0,0,210,0.0,0.030583343509891756,-3
"(48591, 10164)",0.0,0,0,0.0,0.01609792695463148,-100
"(52838, 52840)",0.0,0,0,0.0,0.015258698535195715,-100
"(21431, 21432)",0.0,0,0,0.0,0.015258698535195715,-100
"(14094, 25155)",0.0,0,1,0.0,0.016021633461955502,-100
"(35899, 35905)",0.0,0,0,0.0,0.015258698535195715,-100
"(38547, 38651)",0.03571428571428571,1,210,0.3898712452512801,0.023395230233828584,-100
"(38007, 38814)",0.0,0,280,0.0,0.041171725339537404,-100
"(38138, 32138)",0.0,0,0,0.0,0.02020249443794163,-100
"(4376, 14728)",0.0,0,6,0.0,0.016937155374067245,-100
"(38737, 38791)",0.0,0,182,0.0,0.04053685930170901,-3
"(34228, 41330)",0.0,0,0,0.0,0.016021633461955502,-100
"(8429, 14814)",0.0,0,10,0.0,0.01762379680815105,-100
"(38135, 38742)",0.0,0,132,0.0,0.030159772139813152,-100
"(29085, 29812)",0.0,0,0,0.0,0.015258698535195715,-100
"(38685, 38223)",0.0,0,190,0.0,0.03989627834722475,-100
"(38095, 38096)",0.0,0,68,0.0,0.026109140035976315,-100
"(46861, 46862)",0.0,0,0,0.0,0.015258698535195715,-100
"(48590, 8661)",0.0,0,7,0.0,0.02495642811719378,-100
"(38582, 38834)",0.041666666666666664,1,154,0.36067376022224085,0.03918987500645924,-3
"(8589, 8598)",0.0,0,65,0.0,0.029685062996344172,-100
"(5148, 8613)",0.0,0,4,0.0,0.020134887752859133,-100
"(6883, 8510)",0.0,0,8,0.0,0.020640070966324017,-100
"(3836, 38851)",0.0,0,168,0.0,0.031087494525806177,-3
"(38048, 38283)",0.06896551724137931,2,228,0.7863017644931014,0.03964632553022621,-2
"(38370, 38372)",0.0,0,0,0.0,0.015258698535195715,-100
"(8324, 38776)",0.0,0,17,0.0,0.032766305351225024,-100
"(30541, 30542)",0.0,0,0,0.0,0.015258698535195715,-100
"(23379, 16467)",0.0,0,1,0.0,0.015258698535195715,-100
"(38620, 38816)",0.0,0,224,0.0,0.0377168006618563,-3
"(8493, 8570)",0.0,0,108,0.0,0.02350444880887552,-100
"(52338, 52343)",0.0,0,0,0.0,0.015258698535195715,-100
"(28230, 29479)",0.0,0,0,0.0,0.016021633461955502,-100
"(38573, 38656)",0.034482758620689655,1,221,0.3789231816899512,0.022708015286301633,-3
"(586, 24546)",0.0,0,0,0.0,0.015258698535195715,-100
"(38046, 38097)",0.125,2,80,0.7777061516464872,0.022062018157590756,-100
"(31788, 38668)",0.0,0,234,0.0,0.020886328645333074,-1
"(8399, 46003)",0.0,0,9,0.0,0.01762379680815105,-100
"(26746, 26747)",0.0,0,0,0.0,0.015258698535195715,-100
"(19380, 25514)",0.0,0,1,0.0,0.016021633461955502,-100
"(38515, 38788)",0.06451612903225806,2,272,0.696798921681415,0.03069089694894364,-2
"(5858, 5861)",0.0,0,0,0.0,0.016021633461955502,-100
"(8434, 8643)",0.0,0,81,0.0,0.026787327525464984,-4
"(15328, 38585)",0.0,0,15,0.0,0.020735121732970135,-100
"(38243, 38254)",0.03571428571428571,1,190,0.4170323914242463,0.04578624816376192,-100
"(21816, 20156)",0.0,0,0,0.0,0.016021633461955502,-100
"(38518, 38105)",0.0,0,280,0.0,0.02285275208324209,-100
"(38516, 38736)",0.05,1,108,0.3789231816899512,0.02500785011436178,-2
"(10650, 41177)",0.0,0,4,0.0,0.015258698535195715,-100
"(1666, 1667)",0.0,0,0,0.0,0.015258698535195715,-100
"(42651, 25939)",0.0,0,2,0.0,0.016860861881391263,-100
"(38679, 38741)",0.0,0,98,0.0,0.020230629585961914,-100
"(17085, 17105)",0.0,0,0,0.0,0.016860861881391263,-100
"(38225, 38781)",0.0,0,336,0.0,0.05200555964667042,-100
"(38082, 38100)",0.0,0,252,0.0,0.031682311881558956,-100
"(13804, 40084)",0.0,0,1,0.0,0.016181849796575054,-100
"(11760, 22919)",0.0,0,1,0.0,0.016174220447307458,-100
"(8433, 8627)",0.0,0,84,0.0,0.02264434024903591,-3
"(38739, 48856)",0.0,0,14,0.0,0.02673600029244425,-100
"(8480, 8550)",0.03571428571428571,1,208,0.4170323914242463,0.03427969291033072,-100
"(38024, 38216)",0.0,0,135,0.0,0.02341319978511619,-3
"(43472, 38849)",0.0,0,44,0.0,0.03205468093395238,-100
"(18690, 38725)",0.0,0,0,0.0,0.023371406263233738,-100
"(10860, 38291)",0.0,0,13,0.0,0.032794007243759096,-100
"(8437, 39027)",0.0,0,196,0.0,0.04344136895572575,-100
"(11056, 38289)",0.0,0,12,0.0,0.02982194268505335,-100
"(11877, 11878)",0.0,0,0,0.0,0.015258698535195715,-100
"(38656, 38834)",0.038461538461538464,1,182,0.3789231816899512,0.04019963187889992,-2
"(4281, 50887)",0.0,0,1,0.0,0.016021633461955502,-100
"(6715, 29971)",0.0,0,1,0.0,0.016021633461955502,-100
"(34463, 34464)",0.0,0,0,0.0,0.015258698535195715,-100
"(38073, 38212)",0.0,0,108,0.0,0.02873557323766228,-3
"(38149, 38196)",0.0,0,96,0.0,0.03241799021801337,-100
"(38584, 38832)",0.0,0,189,0.0,0.03474911367117332,-3
"(38598, 38830)",0.0,0,224,0.0,0.04001184236649778,-3
"(38679, 52757)",0.0,0,28,0.0,0.020755376228587294,-100
"(38699, 33275)",0.0,0,12,0.0,0.02221077154752273,-100
"(33024, 44629)",0.0,0,0,0.0,0.015258698535195715,-100
"(38710, 38769)",0.03571428571428571,1,208,0.43429448190325176,0.03428066744525941,-100
"(7511, 38781)",0.0,0,84,0.0,0.03874697213180853,-100
"(5309, 7296)",0.0,0,0,0.0,0.015258698535195715,-100
"(38501, 8563)",0.0,0,0,0.0,0.021584838295137555,-100
"(38641, 38719)",0.0,0,98,0.0,0.022079181446877115,-100
"(42312, 8556)",0.0,0,20,0.0,0.02205507544975724,-100
"(38613, 28953)",0.0,0,18,0.0,0.018129859174420088,-100
"(51895, 51896)",0.0,0,0,0.0,0.015258698535195715,-100
"(38513, 11296)",0.0,0,21,0.0,0.01762379680815105,-100
"(38923, 39029)",0.0,0,13,0.0,0.033371419169938465,-100
"(43477, 43478)",0.0,0,1,0.0,0.01678456838871529,-100
"(48794, 38296)",0.0,0,20,0.0,0.04500323518534549,-100
"(38583, 39031)",0.06896551724137931,2,240,0.6814148626178123,0.04295093206895795,-2
"(38131, 17695)",0.0,0,12,0.0,0.020372765781876225,-100
"(38722, 44110)",0.0,0,6,0.0,0.018086047361594332,-100
"(38076, 23257)",0.0,0,13,0.0,0.01973157238900885,-100
"(38003, 13755)",0.0,0,0,0.0,0.016021633461955502,-100
"(19845, 49817)",0.0,0,1,0.0,0.016021633461955502,-100
"(19611, 38546)",0.0,0,192,0.0,0.016021633461955502,-100
"(38666, 8463)",0.0,0,252,0.0,0.023829379879771094,-100
"(38055, 38238)",0.0,0,135,0.0,0.02978486972384868,-3
"(38557, 38308)",0.0,0,357,0.0,0.04632005328535971,-100
"(8544, 45079)",0.0,0,13,0.0,0.02612080183202321,-100
"(1175, 37165)",0.0,0,1,0.0,0.016021633461955502,-100
"(38685, 38785)",0.0,0,140,0.0,0.029043674635456262,-100
"(5614, 8644)",0.0,0,42,0.0,0.0236999849031261,-3
"(40249, 40251)",0.0,0,0,0.0,0.015258698535195715,-100
"(38525, 38879)",0.0,0,323,0.0,0.04548524064172784,-3
"(18518, 8493)",0.0,0,45,0.0,0.018639263195668325,-100
"(38752, 8474)",0.0,0,144,0.0,0.03315984632085568,-100
"(45984, 45994)",0.0,0,2,0.0,0.01678456838871529,-100
"(15339, 33443)",0.0,0,0,0.0,0.016021633461955502,-100
"(40008, 41627)",0.0,0,1,0.0,0.01678456838871529,-100
"(10337, 10339)",0.0,0,0,0.0,0.015258698535195715,-100
"(24320, 40888)",0.0,0,2,0.0,0.016021633461955502,-100
"(38123, 47847)",0.0,0,15,0.0,0.02436861946314568,-100
"(38540, 38748)",0.02564102564102564,1,399,0.3396232718951086,0.03113700938402035,-2
"(38512, 38670)",0.03225806451612903,1,247,0.32351545314867247,0.020569453640838987,-2
"(7379, 49792)",0.0,0,0,0.0,0.015258698535195715,-100
"(10693, 38177)",0.0,0,224,0.0,0.02607146450113714,-3
"(38602, 38744)",0.0,0,169,0.0,0.03516613006457755,-5
"(23465, 38875)",0.0,0,18,0.0,0.042159339376123706,-100
"(7323, 38706)",0.0,0,11,0.0,0.02327480735666359,-100
"(1443, 9120)",0.0,0,0,0.0,0.015258698535195715,-100
"(38697, 38826)",0.0,0,304,0.0,0.05108328335721182,-5
"(18220, 50859)",0.0,0,1,0.0,0.016021633461955502,-100
"(1310, 20563)",0.0,0,1,0.0,0.016021633461955502,-100
"(8436, 24615)",0.0,0,16,0.0,0.017547503315475076,-100
"(20189, 21910)",0.0,0,0,0.0,0.015258698535195715,-100
"(38553, 38847)",0.0,0,165,0.0,0.03875062733015459,-4
"(28165, 1035)",0.0,0,2,0.0,0.016021633461955502,-100
"(5614, 38662)",0.0,0,108,0.0,0.02670631847696434,-100
"(38068, 8556)",0.0,0,120,0.0,0.024760917245571883,-100
"(8439, 5860)",0.0,0,14,0.0,0.01770009030082703,-100
"(14714, 14715)",0.0,0,6,0.0,0.01762379680815105,-100
"(660, 38616)",0.0,0,68,0.0,0.023166491432816544,-100
"(38573, 38652)",0.03571428571428571,1,204,0.33380820069533407,0.021198223233513322,-100
"(6144, 6145)",0.0,0,0,0.0,0.015258698535195715,-100
"(38602, 38854)",0.030303030303030304,1,273,0.3459762562611936,0.05885401121871238,-3
"(23716, 25914)",0.0,0,4,0.0,0.01610555630389908,-100
"(2410, 38160)",0.0,0,15,0.0,0.027201446925253357,-100
"(8560, 8578)",0.0,0,154,0.0,0.031089275437176357,-100
"(8610, 8655)",0.0,0,91,0.0,0.03424920277292526,-100
"(2443, 33764)",0.0,0,0,0.0,0.016021633461955502,-100
"(37572, 38305)",0.0,0,0,0.0,0.03003265108308802,-100
"(15371, 15373)",0.0,0,0,0.0,0.015258698535195715,-100
"(38172, 32576)",0.0,0,10,0.0,0.020462741925003747,-100
"(38552, 38778)",0.125,4,320,1.4657906348035694,0.03472867407228423,-2
"(38112, 38310)",0.05263157894736842,1,96,0.3898712452512801,0.04090574863078954,-2
"(38577, 38721)",0.08,2,180,0.7454911301772974,0.028188874149593486,-2
"(38176, 30418)",0.0,0,28,0.0,0.026743250630898927,-100
"(43903, 50191)",0.0,0,1,0.0,0.01609792695463148,-100
"(38088, 38227)",0.0,0,99,0.0,0.028467819966273303,-3
"(30866, 41939)",0.0,0,0,0.0,0.015258698535195715,-100
"(38698, 38779)",0.0,0,192,0.0,0.0341764471849797,-100
"(38005, 38232)",0.0,0,304,0.0,0.02638530714447133,-3
"(14387, 14406)",0.0,0,0,0.0,0.015258698535195715,-100
"(38508, 28797)",0.0,0,26,0.0,0.018463025227586815,-100
"(9025, 10463)",0.0,0,0,0.0,0.015258698535195715,-100
"(23834, 31093)",0.0,0,2,0.0,0.01678456838871529,-100
"(3069, 35430)",0.0,0,8,0.0,0.016021633461955502,-100
"(48533, 48534)",0.0,0,0,0.0,0.015258698535195715,-100
"(8443, 8447)",0.0,0,130,0.0,0.016937155374067245,-100
"(38605, 46176)",0.0,0,22,0.0,0.01762379680815105,-100
"(14146, 8645)",0.0,0,15,0.0,0.033293839964065215,-100
"(38023, 33829)",0.0,0,15,0.0,0.01770009030082703,-100
"(6733, 38268)",0.0,0,14,0.0,0.03166749909560041,-100
"(14692, 49079)",0.0,0,2,0.0,0.016860861881391267,-100
"(4472, 42785)",0.0,0,1,0.0,0.016021633461955502,-100
"(29714, 32963)",0.0,0,0,0.0,0.016021633461955502,-100
"(38171, 38233)",0.0,0,154,0.0,0.03006365266155098,-100
"(45766, 17256)",0.0,0,1,0.0,0.01609792695463148,-100
"(1935, 18464)",0.0,0,2,0.0,0.01609792695463148,-100
"(38177, 38805)",0.0,0,196,0.0,0.04101434596318431,-100
"(10442, 42428)",0.0,0,0,0.0,0.016021633461955502,-100
"(8594, 8664)",0.0,0,49,0.0,0.028694861046339566,-100
"(12938, 38108)",0.0,0,130,0.0,0.019255039907358405,-4
"(33741, 21079)",0.0,0,3,0.0,0.017547503315475076,-100
"(38512, 52688)",0.0,0,38,0.0,0.01678456838871529,-100
"(1025, 38302)",0.0,0,14,0.0,0.04027798959883114,-100
"(8474, 8627)",0.0,0,56,0.0,0.02349882736700687,-4
"(38564, 38628)",0.043478260869565216,1,143,0.3789231816899512,0.018037875162040362,-100
"(38075, 38266)",0.03571428571428571,1,210,0.40242960438184466,0.03243643378840033,-4
"(26883, 38763)",0.0,0,26,0.0,0.028795005303885016,-100
"(19355, 32656)",0.0,0,0,0.0,0.015258698535195715,-100
"(40507, 33382)",0.0,0,1,0.0,0.016021633461955502,-100
"(38071, 46348)",0.0,0,18,0.0,0.0205008244169622,-100
"(19849, 19850)",0.0,0,0,0.0,0.015258698535195715,-100
"(38148, 38231)",0.037037037037037035,1,192,0.4170323914242463,0.0377425638451893,-2
"(51157, 20342)",0.0,0,1,0.0,0.016021633461955502,-100
